Alexa for Business,Alexa for Business,
Amazon AWS,Amazon AWS,
Amazon Web Services,Amazon Web Services (AWS),AWS
API Gateway,Amazon API Gateway,API Gateway
Application Auto Scaling,AWS Application Auto Scaling,Application Auto Scaling
Application Discovery Service,AWS Application Discovery Service,Application Discovery Service
AppStream,Amazon AppStream,
AppStream 2.0,Amazon AppStream 2.0,AppStream 2.0
AppSync,AWS AppSync,
Artifact,AWS Artifact,
Athena,Amazon Athena,Athena
Auto Scaling,AWS Auto Scaling,
EC2 Auto Scaling,Amazon EC2 Auto Scaling,
Batch,AWS Batch,
Billing and Cost Management,AWS Billing and Cost Management,Billing and Cost Management
Blockchain Templates,AWS Blockchain Templates,
Blox,Blox,
Certificate Manager,AWS Certificate Manager (ACM),ACM
Chalice,AWS Chalice,Chalice
Chime ,Amazon Chime,Amazon Chime
Cloud Directory,Amazon Cloud Directory,Cloud Directory
Cloud9,AWS Cloud9,
CloudFormation,AWS CloudFormation,
CloudFront,Amazon CloudFront,CloudFront
CloudHSM,AWS CloudHSM,CloudHSM
CloudSearch,Amazon CloudSearch ,CloudSearch
CloudTrail,AWS CloudTrail,CloudTrail
CloudWatch ,Amazon CloudWatch,CloudWatch
CloudWatch Events ,Amazon CloudWatch Events,CloudWatch Events
CloudWatch Logs ,Amazon CloudWatch Logs,CloudWatch Logs
CodeBuild,AWS CodeBuild,CodeBuild
CodeCommit,AWS CodeCommit,CodeCommit
CodeDeploy,AWS CodeDeploy,CodeDeploy
CodePipeline,AWS CodePipeline,CodePipeline
CodeStar,AWS CodeStar,
Cognito,Amazon Cognito,
Command Line Interface,AWS Command Line Interface (AWS CLI),AWS CLI
Comprehend,Amazon Comprehend,
Config,AWS Config,
Connect,Amazon Connect,Amazon Connect
Data Pipeline,AWS Data Pipeline,Data Pipeline
Database Migration Service,AWS Database Migration Service (AWS DMS),AWS DMS
DeepLens,AWS DeepLens,AWS DeepLens
Device Farm,AWS Device Farm,Device Farm
DevPay,Amazon DevPay,DevPay
Direct Connect ,AWS Direct Connect,DX
Directory Service,AWS Directory Service,Directory Service
DynamoDB,Amazon DynamoDB,DynamoDB
DynamoDB Streams,Amazon DynamoDB Streams,DynamoDB Streams
EC2 Auto Scaling,Amazon EC2 Auto Scaling,
Elastic Beanstalk,AWS Elastic Beanstalk,Elastic Beanstalk
Elastic Block Store,Amazon Elastic Block Store (Amazon EBS),Amazon EBS
Elastic Compute Cloud,Amazon Elastic Compute Cloud (Amazon EC2), Amazon EC2
Elastic Container Registry,Amazon Elastic Container Registry (Amazon ECR),Amazon ECR
Elastic Container Service,Amazon Elastic Container Service (Amazon ECS), Amazon ECS
Elastic Container Service for Kubernetes,Amazon Elastic Container Service for Kubernetes (Amazon EKS), Amazon EKS
Elastic File System,Amazon Elastic File System (Amazon EFS),Amazon EFS
Elastic Load Balancing,Elastic Load Balancing,ELB
Elastic Transcoder,Amazon Elastic Transcoder,Elastic Transcoder
ElastiCache,Amazon ElastiCache, ElastiCache
Elasticsearch Service,Amazon Elasticsearch Service, Amazon ES
EMR,Amazon EMR,
Firewall Manager,AWS Firewall Manager,
FreeRTOS,Amazon FreeRTOS,
